Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Maxscend Microelectronics Co Ltd,300782.SZ,F2,Supporting technologies,Semiconductors (radio frequency chips) ,IS - F2 Semiconductors (radio frequency chips)  - Maxscend Microelectronics Co Ltd - 300782.SZ,75.81,Chinese Renminbi,684.499,,Mr. Zhihan Xu,"Electronic Equipment, Instruments & Components",Electronic Components,"Maxscend Microelectronics Company Limited is a China-based company principally engaged in the research, development and sales of RF frontend chips. The Company's main products are RF frontend chip products such as RF switches and RF low noise amplifiers. The Company's products are mainly used in mobile smart terminals such as smart phones. In addition, The Company collects authorization and technical service fees and royalties from third parties by providing intellectual property (IP) authorization to them. The Company's IP includes WiFi, classic Bluetooth and Bluetooth low energy RF design IP, as well as part of modem design IP. The Company distributes its products both in the domestic market and to overseas markets.","40,553,475,975.87","5,716,927,335.17",4/9/2025,,"4,486,931,810.00","3,906,074,260.00","5,449,372,180.00",0.281,,"401,827,000.00",0.75,0.752,0.481,-36.08%,2.813,-3.572,,-0.666,-0.989,,,-3.572,-26.463,,8.332,14.959,-0.666,-0.989,"14,232,842,020","10,482,508,380",,"2,613,588,320","37,124,020",2.768,10.183,18.36%,24.58230614,"985,341,000","1,361,880,000",-27.65%,"80,281,000","1,894,128,040",-95.76%,10.183,1.703,0.802,0.031,,100.846,2.813,54.769,0.13%,NULL,0.10,(38.453%),(23.362%),NULL,0.145 ,0.124 ,0.124 ,19.611,,8.332,0.144,0.172,0.409,0.573,0.030,0.099,11.887,7.132,0.356,0.356,8.332,,131.00,58.61
Cambricon Technologies Corp Ltd,688256.SS,F2,Supporting technologies,Semiconductors / AI ,IS - F2 Semiconductors / AI  - Cambricon Technologies Corp Ltd - 688256.SS,1202,Chinese Renminbi,465.913,,Mr. Tianshi Chen,Semiconductors & Semiconductor Equipment,Semiconductors,"Cambricon Technologies Corp Ltd is a China-based company principally involved in the provision of chip products and system software solutions. The Company’s main products are terminal intelligent processor Intellectual Property (IP), cloud smart chips and accelerator cards, edge smart chips and accelerator cards, and supporting intelligent computing cluster system. The Company conducts its businesses in domestic and overseas markets.","502,849,927,912.58","71,468,797,893.97",4/9/2025,,"1,174,464,380.00","3,990,342,500.00","10,809,638,450.00",0.567,,"-452,339,000.00",2.66,-1.09,4.198,-485.14%,NULL,-15.949,,15.132,18.570,,,-15.949,0.760,,127.097,224.779,15.132,18.570,"6,717,812,510","5,430,479,570",,"114,309,980","1,156,890",1.496,-431.357,1.70%,1.557013785,"-265,717,000","-590,339,000",54.99%,"-1,617,960,240","-595,535,020",-171.68%,-431.357,8.704,6.003,-14.154,,451.880,NULL,266.658,NULL,0.00%,0.00,NULL,NULL,NULL,0.000 ,0.000 ,0.000 ,NULL,,127.097,0.742,0.890,-0.696,-0.974,-0.076,-0.251,212.088,127.253,0.179,0.179,127.097,,1595.88,203.88
Unigroup Guoxin Microelectronics Co Ltd,002049.SZ,F2,Supporting technologies,Semiconductors ,IS - F2 Semiconductors  - Unigroup Guoxin Microelectronics Co Ltd - 002049.SZ,72.98,Chinese Renminbi,117.428,,Mr. Jie Chen,Semiconductors & Semiconductor Equipment,Semiconductors,"Unigroup Guoxin Microelectronics Co Ltd is a China-based company principally engaged in integrated circuit chip design, service and sales. The Company operates its businesses through four segments. The Management of the Headquarters segment mainly includes department adjustments and staffing. The Crystal Business segment is mainly engaged in quartz crystal frequency device business, and its products cover major categories such as quartz crystal resonators, quartz crystal oscillators, voltage-controlled crystal oscillators, temperature-compensated crystal oscillators. The Smart Security Chip Business segment mainly includes smart card security chips, smart terminal security chips, automotive electronic chips and others. The Special Integrated Circuit Business segment includes microprocessors, programmable devices, memory, network and interface, analog devices and other products. The Company mainly operates its businesses in the domestic and overseas markets.","62,004,661,939.65","8,684,924,896.24",4/9/2025,,"5,511,073,890.00","5,685,491,250.00","7,358,279,700.00",0.333,,"1,179,319,000.00",1.34,1.399,1.996,42.67%,NULL,19.856,,6.627,9.117,,,19.856,1.988,,8.727,17.648,6.627,9.117,"17,319,762,350","12,992,670,150",,"2,133,114,820",NULL,2.892,18.483,12.32%,14.20050283,"1,467,244,000","2,880,997,000",-49.07%,"1,467,379,050","1,771,932,440",-17.19%,18.483,4.733,3.926,0.688,,54.276,NULL,31.540,0.29%,NULL,0.21,(3.286%),34.020%,11.387%,0.286 ,0.247 ,0.195 ,NULL,,8.727,0.524,0.629,0.644,0.901,0.067,0.223,11.104,6.662,0.311,0.311,8.727,,86.77,44.50
Hangzhou Silan Microelectronics Co Ltd,600460.SS,F2,Supporting technologies,Semiconductors ,IS - F2 Semiconductors  - Hangzhou Silan Microelectronics Co Ltd - 600460.SS,28.47,Chinese Renminbi,86.973,,Mr. Xiangdong Chen,Semiconductors & Semiconductor Equipment,Semiconductors,"Hangzhou Silan Microelectronics Co Ltd is a China-based company that is primarily engaged in the design, manufacture and sale of electronic components. The Company's main products include integrated circuits, discrete semiconductor devices, and light-emitting diode (LED) products. The Company's products are mainly used in consumer fields such as frequency conversion products for home appliances, industrial and automotive customers, smart phones, tablet computers, wearable devices, and others. The Company mainly conducts business in China.","47,375,462,035.35","6,652,652,305.54",4/9/2025,,"11,220,869,040.00","12,282,820,610.00","14,956,581,475.00",0.499,,"219,868,000.00",0.31,0.13,0.360,177.23%,NULL,1.696,,0.889,4.172,,,1.696,-2.881,,3.055,5.777,0.889,4.172,"24,796,971,090","13,823,582,000",,"6,219,995,710","259,863,690",4.099,0.449,25.08%,52.3498675,"1,359,389,000","1,139,491,000",19.30%,"442,537,730","316,832,150",39.68%,0.449,1.886,1.341,0.071,,92.966,NULL,56.007,0.14%,NULL,0.04,(26.319%),51.572%,4.812%,0.049 ,0.047 ,0.043 ,NULL,,3.055,0.249,0.298,0.153,0.215,0.005,0.016,3.441,2.065,0.461,0.461,3.055,,34.69,17.19
Montage Technology Co Ltd,688008.SS,F2,Supporting technologies,Semiconductors ,IS - F2 Semiconductors  - Montage Technology Co Ltd - 688008.SS,102.85,Chinese Renminbi,41.256,,Mr. Chonghe Yang,Semiconductors & Semiconductor Equipment,Semiconductors,"Montage Technology Co Ltd is a China-based company mainly engaged in data processing and interconnect chip design. The Company mainly includes two product lines, interconnection chip product line and Jindai Server Platform product line. The interconnection chip products include Memory Interface chips, Memory Module Supporting chips, PCIe Retimer chips MXC chip, clock chip and others. The Jindai Server Platform products include Jindai Server Central Processing Unit (CPU), data protection, trusted computing acceleration chips and Hybrid Secure Memory Module. The Company's products are sold to domestic and foreign markets.","117,777,165,073.75","16,700,858,517.87",4/9/2025,,"3,638,911,070.00","4,607,389,760.00","6,748,835,545.00",0.383,,"1,411,779,000.00",1.75,1.25,1.976,58.09%,1.371,42.264,,15.437,17.443,,,42.264,4.759,,58.902,106.137,15.437,17.443,"12,218,911,390","11,488,528,900",,"44,755,800","1,512,600",5.021,726.974,0.37%,0.359589132,"1,313,175,000","397,158,000",230.64%,"1,691,321,510","731,249,700",131.29%,726.974,16.518,15.883,37.790,,58.759,1.371,43.684,NULL,NULL,0.39,9.139%,5.387%,NULL,0.045 ,0.037 ,0.037 ,10.095,,58.902,0.719,0.862,0.393,0.551,0.096,0.317,94.757,56.854,0.318,0.318,58.902,,129.98,47.70
China Resources Microelectronics Ltd,688396.SS,F2,Supporting technologies,Semiconductors ,IS - F2 Semiconductors  - China Resources Microelectronics Ltd - 688396.SS,47.69,Chinese Renminbi,14.942,,Mr. Xiaolong He,Semiconductors & Semiconductor Equipment,Semiconductors,"China Resources Microelectronics Limited is a China-based company mainly engaged in semiconductor business. The Company has a full industrial chain of chip design, wafer manufacturing, packaging and testing, and its products cover the fields of power semiconductors, smart sensors and intelligent control, providing customers with rich semiconductor products and system solutions. The Company distributes its products within domestic market and to overseas markets.","63,308,990,483.91","8,906,087,526.00",4/9/2025,,"10,118,525,840.00","10,576,370,160.00","12,393,683,375.00",0.362,,"762,460,000.00",0.62,0.576,0.809,40.53%,NULL,7.629,,2.451,3.684,,,7.629,-8.713,,6.669,12.690,2.451,3.684,"29,106,829,550","24,647,328,640",,"880,513,280","42,963,360",2.973,25.397,3.03%,2.72131115,"1,840,271,000","2,423,645,000",-24.07%,"2,035,987,180","1,737,665,670",17.17%,25.397,3.200,2.707,2.312,,76.981,NULL,49.417,NULL,NULL,0.06,(30.369%),11.939%,NULL,0.063 ,0.066 ,0.066 ,NULL,,6.669,0.317,0.380,0.220,0.308,0.037,0.123,9.184,5.510,0.347,0.347,6.669,,65.00,33.67
iSoftStone Information Technology Group Co Ltd,301236.SZ,F2,Supporting technologies,Software / enterprise ,IS - F2 Software / enterprise  - iSoftStone Information Technology Group Co Ltd - 301236.SZ,53.7,Chinese Renminbi,103.063,,Mr. Tianwen Liu,IT Services,IT Consulting & Other Services,"iSoftStone Information Technology Group Co Ltd is a China-based company providing software and digital technology services. The Company also provides digital operation services. The software and digital technology services are divided into general technology services, digital technology services, consulting and solutions, providing all-round services such as design, development, testing, operation and maintenance and data processing for software, information systems and electronic circuit products. The digital operation services provide customer service, digital content service and business process service. The Company's main businesses mainly cover four fields: communication equipment, Internet services, finance, high technology and manufacturing.","51,172,224,647.58","7,211,042,821.45",4/9/2025,,"31,316,390,340.00","34,571,293,440.00","39,212,875,000.00",1.489,,"180,379,000.00",0.20,0.19,0.395,107.89%,NULL,0.054,,0.572,1.865,,,0.054,-0.727,,4.974,7.720,0.572,1.865,"23,181,406,230","10,727,567,480",,"6,482,690,870",NULL,4.358,1.107,27.97%,64.45381838,"792,268,000","951,715,000",-16.75%,"741,398,320","872,344,310",-15.01%,1.107,1.824,1.398,0.114,,266.369,NULL,36.658,0.19%,49.61%,0.10,NULL,NULL,NULL,0.119 ,0.119 ,0.119 ,NULL,,4.974,0.384,0.461,0.142,0.199,0.011,0.037,4.438,2.663,1.614,1.614,4.974,,80.50,31.69
iFLYTEK Co Ltd,002230.SZ,F2,Supporting technologies,Software / AI ,IS - F2 Software / AI  - iFLYTEK Co Ltd - 002230.SZ,49.2,Chinese Renminbi,27.258,,Mr. Qingfeng Liu,Software,Application Software,"iFLYTEK Co Ltd is a China-based company principally engaged in the research and development of artificial intelligence (AI) products and industry applications. The Company has built an AI core technology research and model training system with independent and controllable elements such as algorithms, computing power and data, realizing three AI landing and commercialization systems: AI industry applications (smart education, smart medical care, smart cars, enterprise AI solutions and smart cities), AI open platforms and AI consumer products. The Company's main products include AI learning machines, AI language learning products, AI diagnosis and treatment assistant products, smart medical devices, simultaneous interpretation headsets, iFLYTEK Hearing Smart Conference System, iFLYTEK Spark App, iFLYTEK Smart Office Book, iFLYTEK Translator, iFLYTEK AI Recorder and others. The Company mainly operates its businesses in the domestic and overseas markets.","113,733,682,388.76","15,922,950,410.20",4/9/2025,,"23,343,093,020.00","24,929,485,810.00","31,062,165,562.50",0.610,,"560,162,660.00",0.31,0.24232,0.421,73.56%,NULL,0.615,,1.849,4.277,,,0.615,6.101,,3.906,6.870,1.849,4.277,"41,478,899,800","20,231,071,910",,"10,316,315,900",NULL,1.988,1.667,24.87%,47.15468532,"2,802,457,000","2,374,903,000",18.00%,"2,495,173,460","349,757,820",613.40%,1.667,1.563,1.381,0.242,,157.410,NULL,86.734,0.20%,NULL,0.10,0.000%,(12.945%),4.137%,0.000 ,0.041 ,0.048 ,8.751,,3.906,0.210,0.252,0.149,0.209,0.008,0.027,4.716,2.830,0.589,0.589,3.906,,59.37,33.26
Hundsun Technologies Inc,600570.SS,F2,Supporting technologies,Software / enterprise ,IS - F2 Software / enterprise  - Hundsun Technologies Inc - 600570.SS,33.98,Chinese Renminbi,132.083,,Mr. Shufeng Liu,Software,Application Software,"Hundsun Technologies Inc is a China-based company that mainly provides financial technology products and services. The Company's customers mainly include securities, funds, banks, futures, insurance asset management, trusts, private equity, corporate finance, insurance, financial infrastructure, etc. The Company's main businesses include wealth technology services, asset management technology services, operation and institutional technology services, risk and platform technology services, data service business, innovation business, corporate finance and insurance core and financial infrastructure technology services and other businesses. The Company sells its products in the domestic market and overseas markets.","64,281,358,745.81","9,033,140,695.90",4/9/2025,,"6,581,075,310.00","6,171,646,160.00","7,151,598,722.50",0.446,,"1,043,264,000.00",0.67,0.55,0.680,23.66%,2.357,19.703,,9.528,15.260,,,19.703,3.821,,6.572,11.370,9.528,15.260,"14,728,811,680","9,435,263,370",,"545,311,840",NULL,7.187,22.183,3.70%,5.976906574,"1,263,496,000","1,621,460,000",-22.08%,"867,929,230","1,261,324,140",-31.19%,22.183,1.135,0.977,1.592,,50.890,2.357,44.845,0.29%,15.31%,0.10,9.141%,NULL,5.504%,0.057 ,0.070 ,0.064 ,NULL,,6.572,0.056,0.067,0.441,0.618,0.057,0.187,8.745,5.247,0.453,0.453,6.572,,40.22,15.67
Yonyou Network Technology Co Ltd,600588.SS,F2,Supporting technologies,Software / enterprise ,IS - F2 Software / enterprise  - Yonyou Network Technology Co Ltd - 600588.SS,14.59,Chinese Renminbi,56.516,,Mr. Wenjing Wang,Software,Application Software,"Yonyou Network Technology Co Ltd is a China-based company primarily engaged in cloud services and software providers for enterprises and public organizations. The large enterprise service business mainly provides YonBIP cloud services to large enterprises, including providing industry cloud service products and solutions to vertical industries such as automobiles, finance, tobacco, telecommunications, and radio and television. The medium-sized enterprise service business mainly provides the YonSuite cloud service set based on the YonBIP platform for growing enterprises. The cloud service business for small and micro enterprises is mainly provided by the company's holding subsidiaries. The government and other public organization service business mainly provides services such as financial budget management integration, financial and internal control integration of administrative institutions, and the National People's Congress online supervision system.","49,853,294,108.78","7,019,261,207.89",4/9/2025,,"9,152,729,440.00","8,928,492,120.00","10,722,204,152.50",0.384,,"-2,061,309,000.00",#VALUE!,-0.62,-0.150,-75.80%,NULL,-29.450,,-9.594,-26.581,,,-29.450,13.277,,1.462,1.606,-9.594,-26.581,"24,156,835,130","9,824,096,890",,"6,969,548,120","178,859,000",2.723,-9.715,28.85%,83.52048129,"-743,996,000","103,998,000",-815.39%,"-273,649,390","-90,501,490",-202.37%,-9.715,0.851,0.806,-0.039,,NULL,NULL,NULL,0.00%,NULL,0.00,NULL,NULL,NULL,0.049 ,0.091 ,0.069 ,2.868,,1.462,-0.055,-0.066,0.006,0.008,-0.070,-0.231,2.304,1.383,0.368,0.368,1.462,,20.00,8.24
Shanghai Baosight Software Co Ltd,600845.SS,F2,Supporting technologies,Software / enterprise ,IS - F2 Software / enterprise  - Shanghai Baosight Software Co Ltd - 600845.SS,23.46,Chinese Renminbi,350.750,,Mr. Guobing Tian,Software,Application Software,"Shanghai Baosight Software Co Ltd is a China-based company mainly engaged in software development and engineering outsourcing services. The Company operates three segments: the Software Development and Engineering Services segment, the System Integration segment, and the Service Outsourcing segment. The Company's businesses include information technology, automation, robotics, smart transportation, and next-generation information infrastructure. The company's products are mainly used in fields such as steel, non-ferrous metals, chemical industry, mining, new materials, new energy, metal processing, equipment manufacturing, urban transportation, and infrastructure. The Company mainly operates its businesses in the domestic market.","56,021,461,488.63","7,838,801,952.37",4/9/2025,,"13,644,424,670.00","11,616,467,220.00","14,907,151,125.00",0.538,,"2,265,483,000.00",0.57,0.785,0.788,0.35%,NULL,15.925,,7.933,14.677,,,15.925,-1.413,,6.773,12.777,7.933,14.677,"21,636,685,900","12,396,082,360",,"1,921,054,050",NULL,1.878,73.239,8.88%,8.2852954,"3,080,469,000","3,346,762,000",-7.96%,"1,671,003,260","2,608,463,850",-35.94%,73.239,1.925,1.554,0.870,,41.086,NULL,24.814,2.56%,NULL,0.60,3.949%,29.560%,30.254%,0.138 ,0.226 ,0.286 ,NULL,,6.773,0.381,0.458,0.266,0.373,0.112,0.370,8.241,4.945,0.627,0.627,6.773,,38.72,22.53
